"Date","Price (Close)"
"2022-04-09","42438.22829768313"
"2022-04-08","42263.37052318826"
"2022-04-07","43455.12215450721"
"2022-04-06","43176.59711905165"
"2022-04-05","45502.03195687107"
"2022-04-04","46594.42097599588"
"2022-04-03","46414.52734650312"
"2022-04-02","45822.87733644669"
"2022-04-01","46298.58833405536"
"2022-03-31","45537.67"
"2022-03-30","47075.07893502994"
"2022-03-29","47449.78374090007"
"2022-03-28","47138.51218039279"
"2022-03-27","46842.63905822231"
"2022-03-26","44535.51077478116"
"2022-03-25","44329.92128566712"
"2022-03-24","44013.207614417566"
"2022-03-23","42899.62081072618"
"2022-03-22","42379.863589968874"
"2022-03-21","41021.109948875026"
"2022-03-20","41275.41981259763"
"2022-03-19","42227.205980447165"
"2022-03-18","41775.232182868385"
"2022-03-17","40941.12350740129"
"2022-03-16","41131.44820344736"
"2022-03-15","39303.53847474247"
"2022-03-14","39677.17881861952"
"2022-03-13","37786.21011683803"
"2022-03-12","38806.981301796586"
"2022-03-11","38733.32931508335"
"2022-03-10","39439.80579087697"
"2022-03-09","41957.16433036675"
"2022-03-08","38746.54612772212"
"2022-03-07","38001.05209145175"
"2022-03-06","38418.00317690793"
"2022-03-05","39405.13029936343"
"2022-03-04","39155.57228378007"
"2022-03-03","42461.085343785024"
"2022-03-02","43920.41706239912"
"2022-03-01","44436.23988601215"
"2022-02-28","43192.80633667073"
"2022-02-27","37716.35255320594"
"2022-02-26","39134.03307960534"
"2022-02-25","39242.85668372231"
"2022-02-24","38354.77806497152"
"2022-02-23","37271.51012035594"
"2022-02-22","38256.5522600743"
"2022-02-21","37033.98242645703"
"2022-02-20","38399.033716602586"
"2022-02-19","40098.18822590741"
"2022-02-18","39996.20898144621"
"2022-02-17","40544.62216353262"
"2022-02-16","43899.17505321976"
"2022-02-15","44574.61961470789"
"2022-02-14","42548.442116491555"
"2022-02-13","42075.715472990916"
"2022-02-12","42235.972537297384"
"2022-02-11","42395.74554152036"
"2022-02-10","43530.952127896315"
"2022-02-09","44417.15509184096"
"2022-02-08","44080.88604780179"
"2022-02-07","43870.00033080891"
"2022-02-06","42411.43792523726"
"2022-02-05","41413.9459340775"
"2022-02-04","41603.027992946394"
"2022-02-03","37331.44072753229"
"2022-02-02","36920.350324988256"
"2022-02-01","38721.010706257424"
"2022-01-31","38490.065368439595"
"2022-01-30","37905.13870344644"
"2022-01-29","38182.04097037234"
"2022-01-28","37739.458415110355"
"2022-01-27","37181.24471827503"
"2022-01-26","36833.92008537178"
"2022-01-25","36981.47196006759"
"2022-01-24","36688.135613949125"
"2022-01-23","36276.72538118257"
"2022-01-22","35078.71446822955"
"2022-01-21","36467.14401085583"
"2022-01-20","40686.30786420817"
"2022-01-19","41675.09028532346"
"2022-01-18","42372.24700541985"
"2022-01-17","42221.051687156454"
"2022-01-16","43094.373969658496"
"2022-01-15","43095.616604307725"
"2022-01-14","43085.56971573354"
"2022-01-13","42573.11237548382"
"2022-01-12","43920.93710308029"
"2022-01-11","42742.67943384213"
"2022-01-10","41831.121668248255"
"2022-01-09","41868.39850441903"
"2022-01-08","41686.819398481966"
"2022-01-07","41555.91333306524"
"2022-01-06","43086.867495127044"
"2022-01-05","43443.74266337539"
"2022-01-04","45828.00081420645"
"2022-01-03","46448.54887176065"
"2022-01-02","47300.260977473095"
"2022-01-01","47738.09021326221"
"2021-12-31","46209.1139456154"
"2021-12-30","47127.70357741576"
"2021-12-29","46471.4215805147"
"2021-12-28","47549.767421230325"
"2021-12-27","50713.32173892958"
"2021-12-26","50801.801040581006"
"2021-12-25","50433.005302307545"
"2021-12-24","50841.174469837315"
"2021-12-23","50840.98385030687"
"2021-12-22","48607.97360153215"
"2021-12-21","48913.54969317812"
"2021-12-20","46919.455753861504"
"2021-12-19","46696.18828923895"
"2021-12-18","46858.707248173996"
"2021-12-17","46158.83776968673"
"2021-12-16","47644.42976206312"
"2021-12-15","48888.311283824754"
"2021-12-14","48371.07189171241"
"2021-12-13","46734.82802414623"
"2021-12-12","50095.84188761455"
"2021-12-11","49413.99169724149"
"2021-12-10","47177.6365366698"
"2021-12-09","47580.70580969434"
"2021-12-08","50514.81642085562"
"2021-12-07","50631.72168899536"
"2021-12-06","50513.5013442801"
"2021-12-05","49466.5094623895"
"2021-12-04","49237.93061134608"
"2021-12-03","53650.623544597256"
"2021-12-02","56520.89965437467"
"2021-12-01","57219.384525995934"
"2021-11-30","56980.61206570054"
"2021-11-29","57835.29033338085"
"2021-11-28","57324.80152701594"
"2021-11-27","54773.00678642563"
"2021-11-26","53771.63946029656"
"2021-11-25","58993.3076256517"
"2021-11-24","57167.940399318286"
"2021-11-23","57566.31613345491"
"2021-11-22","56287.30190661673"
"2021-11-21","58687.185677168825"
"2021-11-20","59763.42238615593"
"2021-11-19","58113.417541449664"
"2021-11-18","56922.44043653159"
"2021-11-17","60374.03497360173"
"2021-11-16","60101.086545380604"
"2021-11-15","63613.27713454951"
"2021-11-14","65529.21554642032"
"2021-11-13","64408.395925960045"
"2021-11-12","64148.801061873775"
"2021-11-11","64815.87967883819"
"2021-11-10","64916.88837726965"
"2021-11-09","66952.03855670716"
"2021-11-08","67553.510527717"
"2021-11-07","63319.18439686647"
"2021-11-06","61528.835301861756"
"2021-11-05","61016.50554379181"
"2021-11-04","61456.704150052756"
"2021-11-03","62927.542965413624"
"2021-11-02","63269.55170974233"
"2021-11-01","60954.44422250737"
"2021-10-31","61349.79664491741"
"2021-10-30","61889.92586166655"
"2021-10-29","62292.15271971656"
"2021-10-28","60608.59294762445"
"2021-10-27","58475.89923831332"
"2021-10-26","60337.9407105646"
"2021-10-25","63085.86122774842"
"2021-10-24","60873.552431355056"
"2021-10-23","61297.1379295953"
"2021-10-22","60679.01229752287"
"2021-10-21","62229.46848147923"
"2021-10-20","66038.33040206794"
"2021-10-19","64293.39210732613"
"2021-10-18","62017.586580697105"
"2021-10-17","61524.828234542525"
"2021-10-16","60876.517474630455"
"2021-10-15","61679.701554760875"
"2021-10-14","57355.09980830324"
"2021-10-13","57371.07835167782"
"2021-10-12","56003.87675319907"
"2021-10-11","57498.92317727315"
"2021-10-10","54685.66784257121"
"2021-10-09","54969.25391775828"
"2021-10-08","53964.72554080152"
"2021-10-07","53791.56011707855"
"2021-10-06","55333.011327334956"
"2021-10-05","51496.0737935795"
"2021-10-04","49245.049341553145"
"2021-10-03","48228.374332415784"
